Subject left_Lateral-nucleus left_Basal-nucleus left_Accessory-Basal-nucleus left_Anterior-amygdaloid-area-AAA left_Central-nucleus left_Medial-nucleus left_Cortical-nucleus left_Corticoamygdaloid-transitio left_Paralaminar-nucleus left_Whole_amygdala right_Lateral-nucleus right_Basal-nucleus right_Accessory-Basal-nucleus right_Anterior-amygdaloid-area-AAA right_Central-nucleus right_Medial-nucleus right_Cortical-nucleus right_Corticoamygdaloid-transitio right_Paralaminar-nucleus right_Whole_amygdala
T1_0005.long.0005 669.864816 444.484397 320.199604 41.676400 58.304707 30.510361 32.796865 181.392941 50.065088 1829.295179 649.194738 463.754503 329.613860 51.460356 58.503170 28.507001 35.140737 187.307249 49.562696 1853.044310
T1_0034.long.0034 635.034983 425.269222 253.416228 49.286145 47.039968 22.522039 25.938151 168.074214 51.808183 1678.389133 666.610440 411.706334 258.698031 50.996516 45.407996 22.267251 26.156690 169.731072 46.691384 1698.265715
T1_0081.long.0081 531.940608 368.976872 234.377664 45.092654 44.290916 24.262538 25.320907 155.313401 40.343063 1469.918621 533.554703 381.794362 272.207502 51.761079 43.532190 21.064773 27.601363 154.684954 38.685640 1524.886566
T1_0193.long.0193 579.131135 383.428003 265.939278 46.531836 44.073195 25.783374 28.434305 169.484373 41.061388 1583.866888 577.862325 410.843624 270.191109 54.990918 50.440680 29.629857 35.385046 178.978870 41.839010 1650.161439
T1_0365.long.0365 518.600798 330.738504 209.111643 46.629070 34.902061 19.855216 22.046429 131.227770 36.798001 1349.909493 563.110055 394.877553 253.303782 48.742295 39.235919 20.465658 27.460509 145.495966 39.490808 1532.182545
T1_0366.long.0366 693.698657 450.119640 308.224383 47.481997 65.877879 29.569729 34.830900 184.733405 55.050820 1869.587411 724.680886 466.797511 318.496338 56.920143 52.391470 32.819041 35.524498 193.752186 49.245575 1930.627648
T1_0435.long.0435 553.839328 367.288919 223.778709 45.438279 47.487968 36.125870 25.937112 159.419448 44.060789 1503.376421 539.014675 382.750414 239.105249 42.817422 64.491351 37.696627 28.835632 156.159029 43.857987 1534.728385
T1_0454.long.0454 744.594528 523.530418 336.068544 59.411171 52.970764 23.843195 33.057999 202.358442 63.734914 2039.569974 765.625237 483.014583 299.778584 62.672080 49.446321 32.950348 34.517898 192.081151 59.805904 1979.892106
T1_0497.long.0497 585.407860 397.513135 250.209180 51.126195 51.773277 27.080135 26.442467 172.598134 44.164458 1606.314841 605.891739 412.113116 266.293716 50.252016 45.234383 30.533162 26.778466 185.087951 43.727849 1665.912396
T1_0643.long.0643 548.081952 433.958197 302.153257 51.018556 49.220697 30.298169 34.404001 185.702674 50.706563 1685.544066 620.878644 428.857225 281.046236 60.819926 58.582869 31.677708 30.729024 176.847141 48.644642 1738.083415
T1_0695.long.0695 638.031937 435.981738 277.939826 56.341708 56.323696 29.040676 28.548762 183.482700 51.016696 1756.707741 693.054999 445.905082 269.586311 65.885495 59.068440 34.406583 31.546092 186.602806 49.286261 1835.342068
T1_0708.long.0708 635.914958 471.513184 268.501390 63.879789 47.058253 22.020458 25.933319 197.096546 53.635529 1785.553426 576.103664 420.864192 256.777530 62.349714 49.416270 25.045871 27.381446 180.788298 44.293148 1643.020132
T1_0758.long.0758 609.715355 397.800510 243.494811 52.825910 50.728461 28.475206 24.576264 160.449695 45.509253 1613.575466 676.806470 412.045618 263.191870 46.029245 48.086273 24.946873 27.046951 156.496765 43.577601 1698.227667
