Measure:volume	Lateral-nucleus	Basal-nucleus	Accessory-Basal-nucleus	Anterior-amygdaloid-area-AAA	Central-nucleus	Medial-nucleus	Cortical-nucleus	Corticoamygdaloid-transitio	Paralaminar-nucleus	Whole_amygdala
T1_0005	647.678477	445.19303	299.274387	46.624451	57.647986	32.843645	32.176628	194.468589	49.599229	1805.506421
T1_0034	641.749536	436.841615	246.428989	50.424603	44.390003	19.861908	23.538519	166.438813	52.190697	1681.864682
T1_0081	523.979272	375.820829	239.094252	44.783992	42.936217	24.47665	24.799664	151.267991	39.995098	1467.153965
T1_0193	571.794789	397.115282	267.847013	44.389136	43.758668	26.737755	30.233224	167.08137	42.586757	1591.543994
T1_0216	631.663165	450.706172	273.14307	64.920686	50.928182	34.139599	29.272559	182.718617	50.673633	1768.165684
T1_0365	527.105611	351.53215	212.022405	44.509104	34.577247	20.347187	21.538412	132.667066	41.434147	1385.733329
T1_0366	722.484364	482.270646	313.269373	52.384581	65.186993	26.282898	34.873389	186.996392	54.24823	1937.996867
T1_0435	561.517535	394.733849	242.991454	49.40353	54.532327	30.514813	27.123664	175.567883	48.987332	1585.372386
T1_0454	719.306325	492.300526	290.79428	59.12715	52.383909	24.308384	30.536219	199.096947	60.815148	1928.668888
T1_0497	605.587187	424.246257	258.584225	52.394846	58.392229	24.133012	26.906819	172.215214	46.705883	1669.165673
T1_0643	554.939382	432.177895	275.100438	53.108095	51.881523	28.996914	30.060302	180.062864	49.1543	1655.481713
T1_0678	730.258946	449.321424	280.995393	58.387762	49.268637	28.182477	30.857504	181.705743	53.843879	1862.821764
T1_0682	556.222435	390.742328	236.8687	40.777004	41.218139	28.746887	25.750599	168.151214	43.069214	1531.54652
T1_0687	712.180224	500.53646	297.450706	58.68726	60.340411	23.918436	25.685817	198.642634	59.705855	1937.147803
T1_0695	672.473963	465.425194	275.659137	58.315156	61.738235	29.491853	25.396376	186.027558	54.967446	1829.494918
T1_0708	643.989774	482.372193	264.348118	63.903267	44.51342	22.203428	23.486035	192.575323	55.098664	1792.490222
T1_0727	474.060791	374.881294	243.793389	44.181715	45.038711	25.197334	25.954722	169.025976	42.355206	1444.489137
T1_0758	607.271422	402.194645	235.916581	53.896964	48.517569	23.590189	22.668841	160.7915	47.161038	1602.008749
T1_0789	616.883779	464.510038	305.612137	53.116715	56.249192	34.308236	39.799545	207.684056	51.504211	1829.667908
T1_0790	475.046196	352.812679	219.012012	48.618458	32.206142	19.075917	21.300036	161.556615	38.211432	1367.839488
T1_0839	606.221421	418.162319	271.668228	52.420205	47.386156	26.257501	30.276937	187.008451	45.456213	1684.857431
T1_0862	639.591396	410.976342	238.932958	52.336269	44.678851	21.322597	24.956412	164.432421	45.493488	1642.720734
T1_0875	591.485418	411.861154	254.267686	52.464155	48.180355	26.816817	28.122407	171.799463	47.977269	1632.974723
T1_0892	588.840757	411.737247	264.109396	51.515228	44.318543	22.66967	28.222956	169.693286	46.028086	1627.135171
T1_0939	643.124637	444.719992	287.206902	57.258245	53.39043	19.556113	29.133012	193.026673	48.831604	1776.247607
T1_1010	716.629432	497.670418	318.910905	67.411057	55.877467	30.336054	33.606542	210.837882	55.170191	1986.449948
T1_1016	701.742855	482.843762	289.770861	55.142641	55.730249	33.267214	34.212632	192.092308	55.562839	1900.365361
T1_1038	697.072432	532.850961	324.697566	60.38175	60.990716	22.130608	30.668083	230.162629	61.855685	2020.810429
T1_1060	599.230147	397.077949	246.135798	51.801542	46.978619	16.81035	22.516378	152.336508	45.952781	1578.840071
T1_1062	601.556285	398.637818	238.139449	59.118221	36.253815	21.674317	25.270187	167.103943	42.804591	1590.558626
T1_1127	686.311754	460.877867	264.168271	51.692042	40.661024	20.291816	24.244801	190.677359	58.284063	1797.208997
T1_1148	524.334903	348.653021	205.342744	42.088672	35.635728	24.831263	23.840503	139.642963	40.389123	1384.758919
T1_1159	768.514465	540.874812	308.927065	67.23441	69.686758	36.511243	28.589878	214.716248	56.007158	2091.062038
T1_1163	679.708693	460.726634	278.047329	58.137712	52.138394	29.837696	31.523449	184.958202	54.873526	1829.951635
T1_1216	600.579539	433.774505	279.179632	51.374299	54.251402	29.647922	32.552846	185.279795	45.87386	1712.5138
T1_1238	690.294192	461.963728	271.779638	52.167934	46.271914	22.117835	26.116972	181.658965	54.73815	1807.109327
T1_1255	703.810207	477.549657	292.180888	54.429493	50.602105	27.649177	26.549445	203.117484	55.211389	1891.099844
T1_1306	538.080002	370.009693	225.136332	43.875121	35.304453	23.585471	22.425672	162.855472	43.9035	1465.175716
T1_1316	596.722584	402.353831	247.934845	51.254118	40.015841	24.852709	31.254127	174.586294	45.267361	1614.241709
T1_1319	579.615143	408.665248	286.37877	50.666467	57.555774	31.414712	36.361283	188.107292	44.8006	1683.565288
T1_1331	693.914764	485.409153	273.996023	62.99474	55.004557	23.554732	20.869454	186.350573	53.385151	1855.479146
T1_1333	556.681204	377.426791	230.055215	44.508459	40.914647	21.210041	25.931033	156.302164	42.064302	1495.093856
T1_1343	610.792923	423.658156	261.872531	56.449721	49.036668	29.923198	30.663211	199.078387	47.125243	1708.600037
T1_1350	751.594541	495.653473	296.494196	52.313878	65.299635	27.19403	31.739098	203.885865	57.437051	1981.611768
T1_1361	635.175392	456.389528	275.022839	54.205562	56.763445	29.562645	28.578605	184.162478	54.204561	1774.065055
T1_1393	617.471134	396.318335	248.750495	45.157895	44.620383	26.817357	28.937249	168.219675	45.911077	1622.203599
T1_1428	827.92936	576.464004	302.899598	69.031683	54.78814	20.743297	24.225952	247.317214	70.714215	2194.113464
T1_1430	611.045136	414.273522	260.124961	52.57991	51.269974	26.302525	27.027044	170.599032	51.15057	1664.372674
T1_1460	735.06796	497.485101	315.033338	59.321031	63.600788	35.404575	35.35562	204.585129	52.028532	1997.882073
T1_1470	588.695385	358.722279	221.301823	48.088254	40.709121	19.570213	22.449187	161.265087	41.39546	1502.196809
T1_1482	728.706835	424.889806	268.277939	44.500624	61.897722	26.201626	26.211198	168.694646	48.042691	1797.423087
T1_1498	617.263815	464.266694	280.905357	58.868727	53.80679	28.81724	29.800375	180.742253	50.872814	1765.344064
T1_1513	660.803155	474.57786	273.566478	51.07841	64.349507	22.925514	24.384658	174.628983	53.201275	1799.51584
T1_1519	609.33045	439.475446	300.351456	44.15004	49.064954	20.265828	28.126316	222.792841	52.299839	1765.857169
T1_1551	602.451513	425.825384	286.622274	53.768483	47.098047	32.071882	33.000826	205.180247	45.11747	1731.136125
T1_1565	731.371382	475.519106	304.437481	61.07032	61.103761	38.679246	33.295048	195.897407	52.561578	1953.935329
T1_1619	669.320402	443.749083	275.912384	43.839803	56.19476	33.988817	28.984365	164.342094	51.695048	1768.026754
T1_1632	641.733915	444.610245	204.367631	53.735549	37.705863	12.757735	12.894991	148.125917	53.431347	1609.363193
T1_1716	573.965745	469.366391	298.418576	53.82907	53.507463	26.307118	31.752998	197.213322	50.66622	1755.026904
T1_1718	561.001469	389.391019	245.240114	43.873175	44.566408	15.710397	24.318146	155.224381	44.095663	1523.420772
T1_1749	585.57839	421.693195	261.253457	56.895614	47.791261	29.390318	28.300751	163.12212	46.442149	1640.467255
T1_1750	643.003868	439.021875	267.23782	52.792767	54.361997	37.437157	28.827956	172.088594	47.367502	1742.139536
T1_1766	599.549891	417.175362	248.468857	54.356439	48.089329	20.282704	24.977573	160.048139	46.323101	1619.271394
T1_1775	681.094131	475.420141	300.62267	56.184968	56.990307	31.15986	31.398119	199.319798	52.298511	1884.488505
T1_1800	693.110703	452.579078	283.85044	61.665907	48.040267	34.024183	33.658992	200.98188	49.567119	1857.478569
T1_1803	718.420033	548.951508	345.672912	62.726546	58.985155	32.555224	38.038379	230.735324	58.715643	2094.800725
T1_1860	633.039325	417.372572	248.815858	51.701972	41.803715	22.288805	25.990178	180.490748	46.773342	1668.276514
T1_1887	677.372559	450.694382	282.418898	47.826706	48.813088	38.456178	32.383711	188.536356	54.012925	1820.514802
T1_1888	703.702959	474.148293	279.507234	56.092985	51.483851	31.735054	33.931131	198.44412	54.213784	1883.25941
T1_1904	645.189132	468.233917	266.88682	48.778395	54.382359	22.981786	24.304649	171.186043	57.812612	1759.755715
T1_1909	564.151233	393.356612	240.792932	56.839039	37.816973	15.46376	25.692878	172.446086	43.442797	1550.002309
T1_1936	502.453341	329.525592	218.542126	38.923527	38.399079	15.51846	22.916582	136.477527	36.439548	1339.195782
T1_1954	721.023768	456.335132	274.742352	56.946134	45.373945	34.939592	34.027714	199.642819	52.267374	1875.298829
T1_1957	665.326463	431.897392	284.517749	60.711072	54.623733	26.724852	31.572511	186.869312	46.538779	1788.781862
T1_1959	497.166123	353.811205	214.849203	41.028958	36.660199	21.579676	20.960656	146.670315	41.524579	1374.250913
T1_1990	651.488724	481.653222	326.014836	49.872345	63.104803	38.858713	35.330267	210.80581	53.443731	1910.572452
T1_2010	814.678286	587.075804	366.939191	69.869859	67.380175	36.894755	36.601625	250.724306	61.243415	2291.407415
T1_2019	758.305587	515.255651	312.367811	65.41093	56.897431	33.902037	33.571871	206.22231	57.591193	2039.52482
T1_2025	594.98789	383.953853	237.90842	51.090873	47.948835	18.308184	26.127823	154.770383	39.818401	1554.914662
T1_2027	593.422456	398.636566	263.792342	52.877581	54.477608	25.085796	26.132491	168.226465	45.018548	1627.669854
T1_2028	570.131534	375.038549	228.347487	44.532867	39.483715	17.992263	26.22627	159.358948	41.982664	1503.094298
T1_2032	756.724248	504.265843	296.305083	62.653034	60.341831	32.822418	27.366831	199.212633	52.967489	1992.65941
T1_2037	540.389224	374.270897	224.020101	51.179419	41.421737	19.079852	23.090426	147.837303	40.332201	1461.621159
T1_2064	734.480528	514.56355	313.662225	71.173082	62.030622	29.666103	31.187746	223.297802	56.278913	2036.340571
T1_2070	685.768349	471.454723	277.299348	55.600943	48.704354	25.864786	29.272537	182.205513	56.521117	1832.691669
T1_2099	724.151735	462.755194	274.916572	52.160629	46.754645	28.22493	30.997444	192.820682	57.503548	1870.285379
T1_2105	655.968861	451.269485	276.954489	66.191335	48.379348	28.38406	31.34128	194.208895	52.118902	1804.816655
T1_2108	522.609751	362.889281	221.432378	42.389563	37.271274	18.465835	22.909975	154.786029	40.997178	1423.751264
T1_2113	668.729175	443.489248	256.972938	49.057788	43.598043	22.431624	29.011231	182.240096	50.410648	1745.94079
T1_2124	694.623598	460.03846	287.744423	50.777148	67.167466	31.26229	32.307778	179.933262	51.290904	1855.145329
T1_2142	716.25773	514.649708	340.557278	55.137895	63.729833	34.645566	35.948677	217.157362	56.943181	2035.02723
T1_2155	628.175012	436.706909	248.39748	54.38735	47.841277	16.863201	22.142653	165.652168	48.804655	1668.970704
T1_2164	671.244481	480.193713	275.016363	68.511863	51.110447	20.422898	27.42897	174.292183	52.521665	1820.742582
T1_2167	608.829992	438.303109	247.521677	53.331969	44.502922	16.500821	22.334326	175.735921	54.623241	1661.683978
T1_2169	605.470425	424.494644	272.128338	50.105248	50.990907	22.897565	28.426663	169.658775	43.897652	1668.070217
T1_2196	693.056962	456.104184	274.027728	49.003533	49.432946	22.52381	27.003241	189.887189	54.222929	1815.262523
T1_2199	601.158105	379.144438	232.619636	60.723995	38.435929	24.689978	28.308269	147.371821	41.30088	1553.753051
T1_2228	631.328909	435.733073	269.261869	55.514439	64.775819	37.264829	29.350446	188.688861	49.044997	1760.963242
T1_2236	692.155106	451.731038	258.393559	48.165854	55.751049	17.913405	23.907621	177.02536	50.057024	1775.100015
T1_2267	617.628587	379.499886	251.028626	52.50121	47.029661	24.122519	27.436276	161.402474	42.425844	1603.075083
T1_2288	737.402774	514.625663	301.312991	74.944511	49.801879	27.574048	28.190798	202.73163	54.915305	1991.4996
T1_2326	591.869444	373.681826	235.25791	45.773767	41.863522	18.353001	24.616707	155.843444	40.625705	1527.885324
T1_2333	747.32609	536.077606	325.871086	61.696702	64.146463	28.64696	32.530803	207.954528	58.228793	2062.47903
T1_2377	627.088898	425.297388	275.81252	57.130235	61.514759	27.887221	30.970082	191.281115	48.702935	1745.685152
T1_2392	604.204033	380.896808	237.601498	55.782932	39.489823	23.942463	24.689396	155.221881	40.903045	1562.731879
T1_2393	813.409488	507.384304	296.648219	63.856326	54.95649	25.662232	29.049482	181.610173	55.834528	2028.411241
T1_2405	669.158358	466.22066	303.594771	61.142876	68.30055	36.936722	31.697242	197.157782	52.616706	1886.825667
