Measure:volume	Lateral-nucleus	Basal-nucleus	Accessory-Basal-nucleus	Anterior-amygdaloid-area-AAA	Central-nucleus	Medial-nucleus	Cortical-nucleus	Corticoamygdaloid-transitio	Paralaminar-nucleus	Whole_amygdala
T1_0005	668.583078	470.682493	311.755144	54.321032	63.636413	34.572264	33.228598	200.104602	51.805511	1888.689135
T1_0034	691.757947	459.953819	266.820041	53.346628	46.931844	20.943872	26.478942	178.05937	51.710696	1796.003159
T1_0081	551.263023	397.113313	263.196772	52.49948	39.421241	18.444227	27.261714	172.364834	42.256512	1563.821115
T1_0193	602.098564	435.409622	290.052748	58.797536	54.783247	35.816211	40.26641	181.662154	44.490922	1743.377412
T1_0216	627.371219	434.402417	277.73069	62.84773	54.275979	36.062123	35.420565	187.486315	48.342723	1763.939761
T1_0365	561.095344	379.254405	227.674888	49.39721	35.871325	19.520556	25.41503	151.431812	41.9769	1491.63747
T1_0366	738.224702	493.142071	313.597283	58.973752	53.161372	30.500417	34.131093	200.451636	53.708641	1975.890968
T1_0435	602.418923	415.66889	253.169968	45.872912	68.025631	36.723235	29.971818	162.141181	47.807632	1661.80019
T1_0454	769.404698	504.496409	297.341249	66.310647	56.938994	34.731774	35.294253	205.345578	63.426587	2033.290189
T1_0497	646.491671	427.994812	270.654957	52.724007	41.62564	27.266514	26.357037	187.185354	45.473641	1725.773632
T1_0643	617.840405	442.226595	278.744176	58.667765	58.246052	29.782888	31.827624	179.786448	50.972314	1748.094269
T1_0678	762.505438	522.923326	346.922203	59.33822	63.106676	32.223965	35.785313	237.13606	58.600213	2118.541414
T1_0682	582.577071	423.856725	267.190036	46.952515	59.673501	33.388522	32.360084	177.664656	45.236259	1668.899368
T1_0687	772.305283	539.6862	334.370727	76.705787	62.719871	27.441521	33.191161	218.394923	60.074168	2124.889642
T1_0695	687.354425	454.195542	287.71218	59.165508	58.789162	34.605288	33.950346	189.691731	49.774181	1855.238363
