Measure:volume	Hippocampal_tail	subiculum-body	CA1-body	subiculum-head	hippocampal-fissure	presubiculum-head	CA1-head	presubiculum-body	parasubiculum	molecular_layer_HP-head	molecular_layer_HP-body	GC-ML-DG-head	CA3-body	GC-ML-DG-body	CA4-head	CA4-body	fimbria	CA3-head	HATA	Whole_hippocampal_body	Whole_hippocampal_head	Whole_hippocampus
T1_0005	662.668793	263.640657	122.434886	187.611552	117.740758	138.007998	508.557953	186.667704	70.940316	328.555327	239.393476	161.743553	84.21439	131.853333	134.388622	113.68864	94.160421	126.326273	66.778349	1236.053506	1722.909945	3621.632243
T1_0034	535.904007	259.367712	96.161284	205.506677	117.236904	137.772937	475.816319	182.16381	80.620027	314.741247	210.654441	131.462507	72.382542	130.692435	112.002479	116.854498	77.798056	96.905432	48.269262	1146.074779	1603.096886	3285.075672
T1_0081	541.344856	249.817323	115.618895	181.631748	116.850181	125.512136	477.896597	181.892768	54.403671	307.660843	221.160303	137.196061	77.162954	133.90066	114.561769	120.142644	87.179602	101.103241	53.579462	1186.875148	1553.545529	3281.765533
T1_0193	622.220142	225.505416	127.34395	196.318499	163.145793	145.311064	487.00098	178.753268	57.825035	315.848813	232.141498	139.049931	90.542776	145.037524	115.792914	128.413726	70.972336	113.665795	60.373495	1198.710494	1631.186525	3452.117161
T1_0216	476.013323	243.6439	110.521067	210.463746	150.869091	156.886534	521.997088	178.045144	81.89515	337.475736	207.997818	159.338718	81.712902	127.397555	129.922041	109.996486	87.38832	120.285595	62.839658	1146.703192	1781.104265	3403.820781
T1_0365	572.124347	219.851921	113.247002	147.466088	140.705877	117.408248	380.782366	160.213635	64.608621	259.104703	203.301054	129.201121	86.075629	116.754218	110.9871	109.022766	55.668289	107.288958	44.999763	1064.134515	1361.846967	2998.10583
T1_0366	693.021713	307.835268	119.234167	226.996072	148.099749	171.506468	564.592885	224.385754	79.060335	374.96921	246.785031	171.287997	81.788327	151.163376	142.761573	130.931055	96.359056	138.34844	59.852218	1358.482034	1929.375198	3980.878945
T1_0435	585.057813	281.488068	98.14418	171.265313	145.952135	139.096208	459.417453	188.179128	81.320206	299.637906	211.983494	129.141284	65.377473	126.813416	110.558701	115.592547	65.52975	101.736993	55.664576	1153.108056	1547.838639	3286.004508
T1_0454	695.889432	331.778444	137.638933	249.80736	137.934123	171.83264	670.598285	214.359642	89.089179	424.491815	284.510959	203.203172	105.887566	163.282799	165.984657	149.38992	112.01022	148.747323	76.341104	1498.858482	2200.095534	4394.843448
T1_0497	529.058045	254.776555	94.966127	194.990864	124.623463	134.833644	507.221525	187.331714	63.065755	318.887989	210.386134	148.657534	68.446476	127.915828	121.04816	113.4691	88.515036	107.606339	70.383998	1145.80697	1666.695807	3341.560823
T1_0643	621.992437	262.151091	150.019799	198.573097	165.388949	133.707065	564.743417	142.523657	61.590201	349.684259	260.265651	163.075247	118.76234	143.213931	135.387953	128.185596	98.177707	131.973133	65.947316	1303.299772	1804.681688	3729.973896
T1_0678	582.109624	260.531132	133.580684	196.361667	135.299535	149.074697	604.292944	200.860027	90.824652	373.832861	261.476402	178.189419	99.513743	152.797465	147.267701	137.187256	93.428252	149.774556	70.739594	1339.374961	1960.358092	3881.842677
T1_0682	540.041482	275.727936	104.085811	158.217471	115.978859	132.523511	489.915416	214.56818	76.821864	306.280522	226.85569	142.396711	61.701449	145.385525	117.460718	127.31371	80.063622	119.87564	56.607425	1235.701924	1600.099279	3375.842685
T1_0687	658.919754	291.677745	114.95515	235.755226	144.853839	184.383798	594.921215	207.786036	97.17207	385.139025	247.493471	171.957535	80.227512	149.638625	140.992936	128.398705	110.651003	127.491637	75.131642	1330.828247	2012.945083	4002.693084
