Measure:volume	Hippocampal_tail	subiculum-body	CA1-body	subiculum-head	hippocampal-fissure	presubiculum-head	CA1-head	presubiculum-body	parasubiculum	molecular_layer_HP-head	molecular_layer_HP-body	GC-ML-DG-head	CA3-body	GC-ML-DG-body	CA4-head	CA4-body	fimbria	CA3-head	HATA	Whole_hippocampal_body	Whole_hippocampal_head	Whole_hippocampus
T1_0005	725.706695	258.572138	122.846193	198.132568	114.539333	125.207926	525.97155	172.100394	67.138595	327.798487	239.265115	153.97963	86.017178	138.509605	125.958292	118.436068	94.710236	119.339731	66.895055	1230.456927	1710.421834	3666.585456
T1_0034	558.021437	252.198779	107.307988	195.098357	116.170154	138.932927	527.351729	156.593418	70.117407	328.022584	220.647025	144.289592	88.933962	137.510228	115.205872	122.466293	67.876861	107.202917	60.016113	1153.534553	1686.237499	3397.79349
T1_0081	590.72073	250.22574	127.136264	180.66665	101.606652	129.307829	500.813729	174.842891	59.855081	308.288844	223.784449	135.973114	76.25379	126.179518	111.066681	110.84423	87.96145	102.953475	53.465687	1177.228333	1582.391088	3350.340151
T1_0193	609.489054	222.646267	135.697965	183.076424	160.927729	132.813662	524.043644	171.682905	61.172325	322.519028	232.321282	145.841297	89.20593	132.576837	119.62777	116.594789	60.961805	115.538526	67.359857	1161.687779	1671.992533	3443.169366
T1_0216	481.921178	249.806621	146.501625	210.486256	154.392522	144.718316	558.353476	144.332761	65.188301	358.23917	229.937034	166.643136	94.15904	131.077682	137.787448	113.868875	71.380147	135.693333	61.623538	1181.063784	1838.732976	3501.717938
T1_0365	588.589144	221.322781	115.004631	154.993534	118.42035	110.558588	428.903859	139.186895	46.569248	277.409708	207.771102	140.136894	83.26796	116.138085	117.971773	103.194925	69.138486	119.891954	49.821373	1055.024866	1446.256931	3089.870941
T1_0366	686.520521	294.781815	140.834057	189.537554	181.063316	154.24836	592.051338	182.141317	72.541617	370.907483	256.835563	184.023541	106.127204	146.861997	152.068376	133.571504	63.416153	147.408244	66.22238	1324.56961	1929.008893	3940.099024
T1_0435	536.086142	281.159798	123.146352	205.552611	159.126228	164.613613	496.218115	178.639624	83.124193	337.354069	236.017694	150.713399	78.42277	138.241632	127.773679	119.058233	74.82396	114.586019	48.494705	1229.510063	1728.430403	3494.026608
T1_0454	725.955975	319.947802	162.638327	269.696858	145.796398	180.412625	702.716938	201.40416	102.227626	438.572635	293.05409	192.143591	111.888212	172.181004	156.775426	157.160509	98.29632	138.675047	56.814073	1516.570425	2238.034818	4480.561219
T1_0497	581.028471	232.3112	127.445588	172.210155	122.845149	123.419324	520.892987	159.78428	63.434068	319.773781	242.188913	153.39582	103.371723	140.654197	123.165039	126.237869	68.200193	126.758815	69.27141	1200.193963	1672.3214	3453.543834
